824B	侹	wtfp		ting3
824C	侺	wmwn		shen4
824D	侻	wukq		tui4,tuo1
824E	侼	wfpb		bo2
824F	侽	wlln	wlet	nan2
8250	侾	wftb		xiao1
8251	俀	wevg		tui3
8252	俁	wknd		yu3
8253	係	wtxi		xi4
8254	俆	wwty	wwgs	xu2,shu1
8255	俇	wqtg		guang4
8256	俈	wtfk		ku4
8257	俉	wgkg		wu3
8258	俋	wkcn		yi4
8259	俌	wgey	wsy	fu3
825A	俍	wyve	wyvy	liang2,lang3
825B	俒	wpfq		hun4
825C	俓	wgva		jing4,ying2
825D	俔	whqn		xian4
825E	俕	wpsy		san4
825F	俖	wgik	wdhk	pei3
8260	俙	wqdh	wrdh	xi1
8261	俛	wqkq		mian3
8262	俠	wdww		xia2
8263	俢	wtet		xiu1
8264	俤	wuxt		di4
8265	俥	wlh		ju1
8266	俧	wfny		
8267	俫	wgoy	wgus	lai2
8268	俬	wtcy		si1
8269	俰	wtkg		huo4
826A	俲	wuql	wure	xiao4
826B	俴	waat	waay	jian4
826C	俵	wgey		biao4
826D	俶	whic		chu4,shu1
826E	俷	wecn		fei4
826F	俹	wghg	wgfg	ya4
8270	俻	wtlg		bei4
8271	俼	wyce		yu4
8272	俽	wrqw		xin1
8273	俿	wham	whwn	hu3,chi2
8274	倀	wdey		chang1,cheng2
8275	倁	wtdk		zhi1
8276	倂	wtff	wtgf	bing4
8277	倃	wthk		jiu4
8278	倄	wqde	wrde	yao2
8279	倅	wywf		zu2,cui4
827A	倆	wgmy		liang3
827B	倇	wpqb		wan3
827C	倈	wsww		lai2
827D	倉	wyvk		cang1,chuang4
827E	倊	wwcn		zong4
8280	個	wldg		ge4
8281	倎	wmaw		tian3
8282	倐	whto		shu1
8283	們	wug		men5
8284	倓	wooy		tan2,dan4
8285	倕	wtgf		chui2,zhui4
8286	倖	wfuf		xing4
8287	倗	weeg		peng2
8288	倛	wadw	wdwy	qi2
8289	倝	fjwy		gan4
828A	倞	wyiy		jing4
828B	倠	wwyg		sui1
828C	倢	wgvh		qie4,jie2
828D	倣	wyty		fang3
828E	値	wfhn		zhi2
828F	倧	wpfi		zong1
8290	倫	wwga		lun2
8291	倯	wswc		song1
8292	倰	wfwt		ling2,leng4
8293	倱	wjxx		hun4
8294	倲	wgji	wsjg	dong1
8295	倳	wgkh		zi4
