ㄚ	a
ㄑㄧ	qi
ㄑㄧㄚ	qia
ㄑㄧㄢ	qian
ㄑㄧㄤ	qiang
ㄑㄧㄠ	qiao
ㄑㄧㄝ	qie
ㄑㄧㄣ	qin
ㄑㄧㄥ	qing
ㄑㄩㄥ	qiong
ㄑㄧㄡ	qiu
ㄑㄩ	qu
ㄑㄩㄢ	quan
ㄑㄩㄝ	que
ㄑㄩㄣ	qun
ㄖㄢ	ran
ㄖㄤ	rang
ㄖㄠ	rao
ㄖㄜ	re
ㄖㄣ	ren
ㄖㄥ	reng
ㄖㄨㄥ	rong
ㄖㄡ	rou
ㄖㄨ	ru
ㄖㄨㄢ	ruan
ㄖㄨㄟ	rui
ㄖㄨㄣ	run
ㄖㄨㄛ	ruo
ㄙㄚ	sa
ㄙㄞ	sai
ㄙㄢ	san
ㄙㄤ	sang
ㄙㄠ	sao
ㄙㄜ	se
ㄙㄣ	sen
ㄙㄥ	seng
ㄕㄚ	sha
ㄕㄞ	shai
ㄕㄢ	shan
ㄕㄤ	shang
ㄕㄠ	shao
ㄕㄜ	she
ㄕㄟ	shei
ㄕㄣ	shen
ㄕㄥ	sheng
ㄕㄡ	shou
ㄕㄨ	shu
ㄕㄨㄚ	shua
ㄕㄨㄞ	shuai
ㄕㄨㄢ	shuan
ㄕㄨㄤ	shuang
ㄕㄨㄟ	shui
ㄕㄨㄣ	shun
ㄕㄨㄛ	shuo
ㄙㄨㄥ	song
ㄙㄡ	sou
ㄙㄨ	su
ㄙㄨㄢ	suan
ㄙㄨㄟ	sui
ㄙㄨㄣ	sun
ㄙㄨㄛ	suo
ㄊㄚ	ta
ㄊㄞ	tai
ㄊㄢ	tan
ㄊㄤ	tang
ㄊㄠ	tao
ㄊㄜ	te
ㄊㄥ	teng
ㄊㄧ	ti
ㄊㄧㄢ	tian
ㄊㄧㄠ	tiao
ㄊㄧㄝ	tie
ㄊㄧㄥ	ting
ㄊㄨㄥ	tong
ㄊㄡ	tou
ㄊㄨ	tu
ㄊㄨㄢ	tuan
ㄊㄨㄟ	tui
ㄊㄨㄣ	tun
ㄊㄨㄛ	tuo
ㄨ	w
ㄨㄚ	wa
ㄨㄞ	wai
ㄨㄢ	wan
ㄨㄤ	wang
ㄨㄟ	wei
ㄨㄣ	wen
ㄨㄥ	weng
ㄨㄛ	wo
ㄨ	wu
ㄒㄧ	xi
ㄒㄧㄚ	xia
ㄒㄧㄢ	xian
